"SourceContinent","ExporterContinent","ConsumerContinent","Nutrient","Unit","Value","rec_intake_adults","rni_amount"
"PICs","Africa","Africa","Iron","mg",38840659.5454968,18,2157814.41919427
"PICs","Africa","Africa","Vitamina","mcg",350476596.100323,900,389418.440111469
"PICs","Africa","Africa","Vitaminb12","mcg",165888757.450899,2.4,69120315.6045414
"PICs","Africa","Americas","Protein","g",143144796.915619,50,2862895.93831237
"PICs","Africa","Americas","Fattyacids","g",3695280.83897315,1.4,2639486.31355225
"PICs","Africa","Americas","Calcium","mg",89830663.1543311,1300,69100.5101187162
"PICs","Africa","Americas","Zinc","mg",4802485.78091195,11,436589.616446541
"PICs","Africa","Americas","Iron","mg",9213780.20201788,18,511876.677889882
"PICs","Africa","Americas","Vitamina","mcg",103771167.56823,900,115301.297298033
"PICs","Africa","Americas","Vitaminb12","mcg",36747971.0374383,2.4,15311654.5989326
"PICs","Africa","Asia","Protein","g",389511419.396775,50,7790228.38793549
"PICs","Africa","Asia","Fattyacids","g",11342654.9784014,1.4,8101896.41314385
"PICs","Africa","Asia","Calcium","mg",1549877753.90612,1300,1192213.65685087
"PICs","Africa","Asia","Zinc","mg",11712836.1628944,11,1064803.28753585
"PICs","Africa","Asia","Iron","mg",24839373.602478,18,1379965.20013767
"PICs","Africa","Asia","Vitamina","mcg",280137404.904406,900,311263.783227117
"PICs","Africa","Asia","Vitaminb12","mcg",87489889.413338,2.4,36454120.5888908
"PICs","Africa","Europe","Protein","g",2194239963.16711,50,43884799.2633421
"PICs","Africa","Europe","Fattyacids","g",53426664.4367637,1.4,38161903.169117
"PICs","Africa","Europe","Calcium","mg",2127609699.50186,1300,1636622.84577066
"PICs","Africa","Europe","Zinc","mg",72477158.812535,11,6588832.61932137
"PICs","Africa","Europe","Iron","mg",132515239.945351,18,7361957.7747417
"PICs","Africa","Europe","Vitamina","mcg",1612373394.63419,900,1791525.99403799
"PICs","Africa","Europe","Vitaminb12","mcg",519475773.591407,2.4,216448238.996419
"PICs","Africa","Oceania","Protein","g",18861119.1824128,50,377222.383648257
"PICs","Africa","Oceania","Fattyacids","g",605689.605492267,1.4,432635.432494476
"PICs","Africa","Oceania","Calcium","mg",20986903.3756603,1300,16143.771827431
"PICs","Africa","Oceania","Zinc","mg",690500.520149747,11,62772.7745590679
"PICs","Africa","Oceania","Iron","mg",1371399.9402043,18,76188.8855669055
"PICs","Africa","Oceania","Vitamina","mcg",13458089.3358967,900,14953.4325954407
"PICs","Africa","Oceania","Vitaminb12","mcg",5818378.94258273,2.4,2424324.55940947
"PICs","Africa","PICs","Protein","g",48861617.9013989,50,977232.358027978
"PICs","Africa","PICs","Fattyacids","g",1106105.81780389,1.4,790075.584145637
"PICs","Africa","PICs","Calcium","mg",59185211.4552136,1300,45527.0857347797
"PICs","Africa","PICs","Zinc","mg",1485671.74343471,11,135061.067584974
"PICs","Africa","PICs","Iron","mg",1661127.65752196,18,92284.8698623313
"PICs","Africa","PICs","Vitamina","mcg",41736379.7344932,900,46373.755260548
"PICs","Africa","PICs","Vitaminb12","mcg",6242363.74829837,2.4,2600984.89512432
"PICs","Americas","Africa","Protein","g",113657217.304719,50,2273144.34609438
"PICs","Americas","Africa","Fattyacids","g",3353155.93801547,1.4,2395111.38429677
"PICs","Americas","Africa","Calcium","mg",98470256.130634,1300,75746.3508697184
"PICs","Americas","Africa","Zinc","mg",3970346.71249902,11,360940.610227184
"PICs","Americas","Africa","Iron","mg",7366014.1334109,18,409223.007411717
"PICs","Americas","Africa","Vitamina","mcg",84154140.6683179,900,93504.6007425755
"PICs","Americas","Africa","Vitaminb12","mcg",29421567.8272683,2.4,12258986.5946951
"PICs","Americas","Americas","Protein","g",8155873593.99297,50,163117471.879859
"PICs","Americas","Americas","Fattyacids","g",218687363.016654,1.4,156205259.29761
"PICs","Americas","Americas","Calcium","mg",5573837267.99907,1300,4287567.12923005
"PICs","Americas","Americas","Zinc","mg",265932819.35724,11,24175710.8506582
"PICs","Americas","Americas","Iron","mg",501891983.532365,18,27882887.9740203
"PICs","Americas","Americas","Vitamina","mcg",5944235896.74335,900,6604706.55193705
"PICs","Americas","Americas","Vitaminb12","mcg",1888464773.71458,2.4,786860322.381076
"PICs","Americas","Asia","Protein","g",5176279119.86889,50,103525582.397378
"PICs","Americas","Asia","Fattyacids","g",125975310.509193,1.4,89982364.6494236
"PICs","Americas","Asia","Calcium","mg",5705899987.4096,1300,4389153.83646892
"PICs","Americas","Asia","Zinc","mg",157253832.586934,11,14295802.9624485
"PICs","Americas","Asia","Iron","mg",243334517.141221,18,13518584.2856234
"PICs","Americas","Asia","Vitamina","mcg",4073751592.30634,900,4526390.65811815
"PICs","Americas","Asia","Vitaminb12","mcg",783309305.751404,2.4,326378877.396418
"PICs","Americas","Europe","Protein","g",6076157146.41281,50,121523142.928256
"PICs","Americas","Europe","Fattyacids","g",160909528.739704,1.4,114935377.671217
"PICs","Americas","Europe","Calcium","mg",3971367782.2541,1300,3054898.29404162
"PICs","Americas","Europe","Zinc","mg",198326283.372415,11,18029662.124765
"PICs","Americas","Europe","Iron","mg",361367923.55533,18,20075995.7530739
"PICs","Americas","Europe","Vitamina","mcg",4543901285.7253,900,5048779.20636145
"PICs","Americas","Europe","Vitaminb12","mcg",1357226206.24126,2.4,565510919.26719
"PICs","Americas","Oceania","Protein","g",75238710.5491529,50,1504774.21098306
"PICs","Americas","Oceania","Fattyacids","g",1781338.96924992,1.4,1272384.97803566
"PICs","Americas","Oceania","Calcium","mg",86087783.6164727,1300,66221.3720126713
"PICs","Americas","Oceania","Zinc","mg",2464440.35814322,11,224040.032558474
"PICs","Americas","Oceania","Iron","mg",2865285.66714788,18,159182.537063771
"PICs","Americas","Oceania","Vitamina","mcg",62913870.7093701,900,69904.300788189
"PICs","Americas","Oceania","Vitaminb12","mcg",9562944.65399309,2.4,3984560.27249712
"PICs","Americas","PICs","Protein","g",48819554.5938972,50,976391.091877944
"PICs","Americas","PICs","Fattyacids","g",1263760.69229004,1.4,902686.208778599
"PICs","Americas","PICs","Calcium","mg",48632934.8063782,1300,37409.9498510602
"PICs","Americas","PICs","Zinc","mg",1415233.94745072,11,128657.631586429
"PICs","Americas","PICs","Iron","mg",1891840.59591181,18,105102.255328434
"PICs","Americas","PICs","Vitamina","mcg",42729231.4420104,900,47476.923824456
"PICs","Americas","PICs","Vitaminb12","mcg",5338331.85262811,2.4,2224304.93859504
"PICs","Asia","Africa","Protein","g",64538583745.6122,50,1290771674.91224
"PICs","Asia","Africa","Fattyacids","g",2073369087.68847,1.4,1480977919.77748
"PICs","Asia","Africa","Calcium","mg",30474797440.8632,1300,23442151.8775871
"PICs","Asia","Africa","Zinc","mg",2492902298.79921,11,226627481.709019
"PICs","Asia","Africa","Iron","mg",5384721236.93432,18,299151179.829684
"PICs","Asia","Africa","Vitamina","mcg",41702312760.3103,900,46335903.0670114
"PICs","Asia","Africa","Vitaminb12","mcg",23298301984.3368,2.4,9707625826.80699
"PICs","Asia","Americas","Protein","g",116374080330.41,50,2327481606.60821
"PICs","Asia","Americas","Fattyacids","g",3623553881.13334,1.4,2588252772.2381
"PICs","Asia","Americas","Calcium","mg",55654915166.6333,1300,42811473.2051026
"PICs","Asia","Americas","Zinc","mg",4423807961.66459,11,402164360.151326
