"Country","Pop_avg","Source","category","net_flow_value","net_flow_value_daily","rec_intake_adults","unit","net_flow_rnis_total","rni_perc_pop_total","net_flow_rnis_daily","rni_perc_pop_daily"
"TZA",53372328.7647059,"Net","zinc",3869531271.77441,756802.51746028,11,"mg",351775570.16131,6.59097285621782,68800.2288600254,0.00128906177512572
"TZA",53372328.7647059,"Net","iron",6330678560.93434,1238153.44434468,18,"mg",351704364.496352,6.58963872546869,68786.3024635933,0.00128880084597471
"TZA",53372328.7647059,"Net","vitamina",114290310857.266,22352886.9269051,900,"mcg",126989234.285851,2.3793084773514,24836.5410298945,0.000465344900714141
"TZA",53372328.7647059,"Net","vitaminb12",23553443915.1375,4606580.07336935,2.4,"mcg",9813934964.64062,183.876836401607,1919408.36390389,0.0359626122436157
"UGA",38234151.7058824,"Net","protein",0,0,50,"g",0,0,0,0
"UGA",38234151.7058824,"Net","fattyacids",0,0,1.4,"g",0,0,0,0
"UGA",38234151.7058824,"Net","calcium",0,0,1300,"mg",0,0,0,0
"UGA",38234151.7058824,"Net","zinc",0,0,11,"mg",0,0,0,0
"UGA",38234151.7058824,"Net","iron",0,0,18,"mg",0,0,0,0
"UGA",38234151.7058824,"Net","vitamina",0,0,900,"mcg",0,0,0,0
"UGA",38234151.7058824,"Net","vitaminb12",0,0,2.4,"mcg",0,0,0,0
"UKR",44356531,"Net","protein",1248193443046.31,244121541.765365,50,"g",24963868860.9262,562.800297907115,4882430.83530729,0.110072422825565
"UKR",44356531,"Net","fattyacids",74243683519.2502,14520571.7815862,1.4,"g",53031202513.7501,1195.56695075524,10371836.9868473,0.233828857961126
"UKR",44356531,"Net","calcium",2634729990241.19,515300213.229258,1300,"mg",2026715377.10861,45.6914761235186,396384.779407121,0.00893633407461736
"UKR",44356531,"Net","zinc",50621511641.6262,9900549.90057231,11,"mg",4601955603.7842,103.749222494072,900049.990961119,0.0202912619781091
"UKR",44356531,"Net","iron",57730285320.3929,11290883.1058856,18,"mg",3207238073.35516,72.3058814801176,627271.28366031,0.01414157666343
"UKR",44356531,"Net","vitamina",2005629182895.2,392260743.769842,900,"mcg",2228476869.88356,50.2401071419124,435845.27085538,0.0098259548487996
"UKR",44356531,"Net","vitaminb12",394881921833.883,77230964.56755,2.4,"mcg",164534134097.451,3709.35531675034,32179568.5698125,0.725475321093359
"URY",3391922.29411765,"Net","protein",16115532184.0946,3151874.08255322,50,"g",322310643.681892,95.0230033986484,63037.4816510644,0.0185845889690296
"URY",3391922.29411765,"Net","fattyacids",2672385554.04132,522664.884420364,1.4,"g",1908846824.31523,562.762545482129,373332.06030026,0.110065039210274
